Data;Volume_m3
30/05/2026;247,53
31/05/2026;18,66
01/06/2026;1362,69
02/06/2026;1480,2
03/06/2026;1459,76
04/06/2026;114,92
05/06/2026;1493,61
06/06/2026;168,91
07/06/2026;57,3
08/06/2026;1369,38
09/06/2026;1743,39
10/06/2026;1283,9
11/06/2026;1253,15
12/06/2026;793,42
13/06/2026;404,96
14/06/2026;5,98
15/06/2026;1266,15
16/06/2026;1783,47
17/06/2026;1783,78
18/06/2026;1647,03
19/06/2026;1534,21
20/06/2026;605,21
21/06/2026;54,09
22/06/2026;1665,61
23/06/2026;1830,8
24/06/2026;1411,89
25/06/2026;1621,29
26/06/2026;1217,95
27/06/2026;344,72
28/06/2026;22,68
29/06/2026;1164,52
30/06/2026;1706,91
01/07/2026;1604,17
02/07/2026;1399,03
03/07/2026;1800,71 
04/07/2026;761,62 
05/07/2026;742,44 
06/07/2026;1260,41 
07/07/2026;1212,85 
08/07/2026;1198,29 
09/07/2026;1481,61 
